,Date,Weather,Temperature
0,1,"阴,/小雨","31℃,/,26℃"
1,2,"小雨,/多云","30℃,/,24℃"
2,3,"晴,/晴","30℃,/,23℃"
3,4,"多云,/阴","32℃,/,24℃"
4,5,"晴,/晴","32℃,/,23℃"
5,6,"多云,/晴","31℃,/,24℃"
6,7,"晴,/晴","33℃,/,25℃"
7,8,"晴,/多云","35℃,/,24℃"
8,9,"阴,/阴","33℃,/,24℃"
9,10,"阴,/中雨","30℃,/,24℃"
10,11,"小雨,/多云","27℃,/,22℃"
11,12,"小雨,/多云","28℃,/,22℃"
12,13,"小雨,/多云","28℃,/,22℃"
13,14,"小雨,/小雨","27℃,/,23℃"
14,15,"中雨,/小雨","25℃,/,22℃"
15,16,"小雨,/暴雨","27℃,/,22℃"
16,17,"大雨,/中雨","24℃,/,19℃"
17,18,"小雨,/阴","19℃,/,17℃"
18,19,"小雨,/多云","23℃,/,19℃"
19,20,"多云,/阴","28℃,/,21℃"
20,21,"阴,/阴","26℃,/,19℃"
21,22,"阴,/小雨","24℃,/,20℃"
22,23,"小雨,/阴","21℃,/,18℃"
23,24,"多云,/阴","26℃,/,19℃"
24,25,"多云,/阴","25℃,/,20℃"
25,26,"多云,/多云","26℃,/,20℃"
26,27,"小雨,/多云","25℃,/,20℃"
27,28,"多云,/多云","25℃,/,20℃"
28,29,"小雨,/小雨","26℃,/,19℃"
29,30,"多云,/多云","27℃,/,19℃"
